Name	Id	SelectX	SelectY	SelectDX	SelectDY	ExitWalkX	ExitWalkY	OffsetX	OffsetY	LitVersion	Tiles	NoInteract	Direction	UniqueId
Act 1 Wilderness to Cave Cliff L	0	-90	-100	90	110	5	0	1	-1	1	2	0	b	0
Act 1 Wilderness to Cave Cliff R	1	-15	-90	90	110	0	5	3	1	1	2	0	b	1
Act 1 Wilderness to Cave Floor L	2	-60	-60	85	100	5	0	-1	1	1	2	0	b	2
Act 1 Wilderness to Cave Floor R	3	-25	-60	85	100	0	5	1	-1	1	2	0	b	3
Act 1 Cave Up	4	-30	-120	120	150	3	5	2	5	1	2	0	b	4
Act 1 Cave Down	5	-25	-75	80	100	3	5	1	3	1	2	0	b	5
Act 1 Graveyard to Crypt 1	6	-90	-110	110	140	5	0	5	0	0	2	0	b	6
Act 1 Graveyard to Crypt 2	7	-70	-90	90	120	5	0	5	2	0	2	0	b	7
Act 1 Crypt Up	8	-10	-90	60	110	0	5	5	1	1	2	0	b	8
Act 1 Crypt Down	9	-30	-90	60	110	5	0	1	1	1	2	0	b	9
Act 1 Wilderness to Tower	10	-10	-50	150	80	3	5	-4	0	1	2	0	b	10
Act 1 Tower to Wilderness	11	-50	-130	60	140	5	3	4	-2	0	2	0	b	11
Act 1 Tower to Crypt	12	-50	-90	80	110	5	0	2	3	1	2	0	b	12
Act 1 Jail Up	13	-50	-110	110	150	0	5	5	1	1	2	0	b	13
Act 1 Jail Down	14	-40	-80	210	110	0	5	-1	3	1	2	0	b	14
Act 1 Cathedral To Catacombs	15	-30	-110	85	130	0	5	3	1	1	2	0	b	15
Act 1 Catacombs to Cathedral	16	-35	-130	90	150	0	5	7	1	1	2	0	b	16
Act 1 Catacombs Up	17	-50	-110	110	150	0	5	5	1	1	2	0	b	17
Act 1 Catacombs Down	18	-60	-80	210	110	0	5	-1	3	1	2	0	b	18
Act 2 Town to Sewer Trap	19	-10	-10	0	0	5	5	0	0	0	2	1	b	19
Act 2 Town to Sewer Dock	20	-25	-95	70	130	5	0	-2	0	0	2	0	b	20
Act 2 Sewer Dock to Town	21	20	-80	65	140	-5	0	10	-2	0	2	0	b	21
Act 2 Sewer Up	22	-25	-160	100	180	2	5	5	3	1	2	0	b	22
Act 2 Sewer Down	23	-65	-55	150	110	0	-5	0	0	1	2	0	b	23
Act 2 Town to Harem	24	-120	-20	150	130	5	0	5	2	0	2	0	b	24
Act 2 Harem to Town	25	-35	-70	95	130	5	2	0	-2	0	2	0	b	25
Act 2 Harem Up 1	26	-25	-150	80	180	0	5	4	0	1	2	0	b	26
Act 2 Harem Up 2	27	-40	-160	80	180	5	0	0	5	1	2	0	b	27
Act 2 Harem Down 1	28	-20	-40	170	100	-5	5	-3	1	1	2	0	b	28
Act 2 Harem Down 2	29	-50	-20	160	85	-5	0	-1	-3	1	2	0	b	29
Act 2 Basement Up 1	30	-25	-100	60	125	0	5	2	0	1	2	0	b	30
Act 2 Basement Up 2	31	-40	-100	60	125	5	0	0	2	1	2	0	b	31
Act 2 Basement Down	32	-30	-30	170	90	-5	5	-3	0	1	2	0	b	32
Act 2 Desert to Tomb L 1	33	-70	-140	80	160	5	0	1	1	0	2	0	b	33
Act 2 Desert to Tomb L 2	34	-50	-120	90	150	5	0	1	1	0	2	0	b	34
Act 2 Desert to Tomb R 1	35	-30	-140	80	160	0	5	6	2	0	2	0	b	35
Act 2 Desert to Tomb R 2	36	0	-140	100	150	0	5	1	2	0	2	0	b	36
Act 2 Desert to Tomb Viper	37	-30	-140	80	160	0	5	4	1	0	2	0	b	37
Act 2 Desert to Tomb Tal 1	38	-40	-190	90	210	5	5	0	0	0	2	0	b	38
Act 2 Desert to Tomb Tal 2	39	-40	-210	50	230	5	0	-1	1	0	2	0	b	39
